date,Open,High,Low,Close,Adj_Close,Volume
2020-04-01,0.09,0.26,0.04,0.09,0.09,
2020-05-01,0.09,0.14,0.08,0.13,0.13,
2020-06-01,0.13,0.17,0.13,0.14,0.14,
2020-07-01,0.14,0.14,0.08,0.08,0.08,
2020-08-01,0.08,0.1,0.08,0.09,0.09,
2020-09-01,0.1,0.11,0.08,0.09,0.09,
2020-10-01,0.09,0.1,0.08,0.08,0.08,
2020-11-01,0.08,0.09,0.05,0.08,0.08,
2020-12-01,0.08,0.09,0.06,0.06,0.06,
2021-01-01,0.07,0.08,0.05,0.05,0.05,
2021-02-01,0.05,0.06,0.02,0.04,0.04,
2021-03-01,0.03,0.04,0.0,0.01,0.01,
2021-04-01,0.01,0.02,0.0,0.0,0.0,
2021-05-01,0.0,0.01,0.0,0.01,0.01,
2021-06-01,0.01,0.05,0.0,0.04,0.04,
2021-07-01,0.04,0.05,0.04,0.04,0.04,
2021-08-01,0.04,0.06,0.03,0.04,0.04,
2021-09-01,0.04,0.04,0.01,0.03,0.03,
2021-10-01,0.03,0.05,0.03,0.05,0.05,
2021-11-01,0.05,0.05,0.03,0.05,0.05,
2021-12-01,0.05,0.07,0.02,0.03,0.03,
2022-01-01,0.05,0.19,0.05,0.17,0.17,
2022-02-01,0.22,0.42,0.18,0.29,0.29,
2022-03-01,0.33,0.6,0.29,0.49,0.49,
2022-04-01,0.5,0.87,0.5,0.81,0.81,
2022-05-01,0.8,1.05,0.76,1.03,1.03,
2022-06-01,1.11,1.76,1.08,1.6,1.6,
2022-07-01,1.61,2.48,1.57,2.3,2.3,
2022-08-01,2.29,2.9,2.26,2.86,2.86,
2022-09-01,2.86,3.27,2.8,3.18,3.18,
2022-10-01,3.16,3.99,3.14,3.97,3.97,
2022-11-01,4.03,4.28,3.95,4.25,4.25,
2022-12-01,4.21,4.34,4.11,4.26,4.26,
2023-01-01,4.26,4.58,4.22,4.57,4.57,
2023-02-01,4.56,4.73,4.45,4.71,4.71,
2023-03-01,4.72,4.88,4.25,4.59,4.59,
2023-04-01,4.62,5.05,4.56,4.92,4.92,
2023-05-01,4.93,5.28,4.86,5.25,5.25,
2023-06-01,5.22,5.25,5.0,5.15,5.15,
2023-07-01,5.14,5.28,5.1,5.25,5.25,
2023-08-01,5.27,5.34,5.1,5.3,5.3,
2023-09-01,5.29,5.33,5.2,5.3,5.3,
2023-10-01,5.31,5.35,5.2,5.32,5.32,
2023-11-01,5.32,5.32,5.1,5.24,5.24,
2023-12-01,5.23,5.26,5.1,5.18,5.18,
2024-01-01,5.18,5.24,5.1,5.19,5.19,
2024-02-01,5.2,5.25,5.19,5.22,5.22,
2024-03-01,5.22,5.24,5.18,5.2,5.2,
2024-04-01,5.2,5.26,5.16,5.24,5.24,
2024-05-01,5.25,5.26,5.21,5.24,5.24,
